code,final,baseline,logPOP,dPOP,0-19,20-39,40-59,60-79,80+,d1PHHS,d2PHHS,d3PHHS,d4PHHS,d5PHHS,d6+PHHS,dHHS,dCER,days_since_100+_cases,cases
E08000015,1.37975,1.2824922,1.1809505,1.1281717,0.3559855,3.0018394,0.92163885,2.1047404,0.49674475,1.4474474,1.1358601,0.102097,1.7578653,1.4512057,1.9182253,0.17307042,1.037944,1.9388797,1.4525815
E08000016,0.7362449,1.2824922,1.2200228,0.6777029,0.23333603,2.4962578,1.0042549,1.9497801,-0.49871606,1.3381702,1.0940028,-0.510038,1.6583546,1.3387816,1.5680131,0.3339177,1.4280255,1.9615586,1.466559
E08000017,0.48300707,1.2824922,1.1880414,0.52557766,0.5372416,2.3939414,0.7281911,1.8920972,-0.39850497,1.2800915,1.1441485,-0.06037143,1.6484125,1.4533798,2.0317254,0.74468017,0.72540694,1.9273674,1.4890445
E08000018,0.46716082,1.2824922,1.2113527,0.77964926,0.7094626,2.6302311,0.8174376,1.9431077,-0.3471776,1.2849066,1.1439593,-0.047071427,1.5577863,1.4368211,2.2318702,0.7915603,1.3793827,1.9502603,1.4784932
E08000019,1.5356588,1.2824922,1.0000844,1.0222744,0.58849746,0.9651828,-0.3942154,1.4386405,-0.8000313,1.3612281,1.0982989,1.0825691,1.873263,1.4504521,2.9572728,0.7182357,0.64586943,2.0546017,1.0314723
E08000021,1.2934395,1.2824922,1.1936247,1.2203518,0.5016248,0.11552714,-1.2064074,1.3002368,-1.2847545,1.4235574,0.95686114,0.845662,1.9693421,1.4465916,3.051903,0.53603625,0.6038655,1.9841334,1.4627789
E08000022,0.5389936,1.2824922,1.2349486,1.2011178,-0.067596555,2.647335,1.1551626,1.997818,0.020805592,1.4895221,1.1010022,-0.18498997,1.7221342,1.1295732,1.4105444,-0.18891409,1.3077416,1.9036933,1.3443122
E08000023,1.8666935,1.2824922,1.2502947,1.1771234,-0.053806763,2.555352,0.93684614,2.020168,0.057933874,1.5240852,1.1423377,-0.56373996,1.9118744,1.2488121,1.6133542,-0.17766729,1.1820863,1.8787215,1.3041999
E08000024,1.7629143,1.2824922,1.2052656,1.1217934,-0.111346886,2.2736633,0.7491693,1.9908568,-0.3682288,1.3921322,1.1413075,-0.71195406,1.7348508,1.314273,1.8485184,0.28045237,0.87307686,1.9273674,1.4787534
E08000025,-0.6026525,1.2824922,0.55383605,1.3557441,2.7192445,1.0565616,-0.7806197,1.1058729,-1.688764,1.2992607,0.32767022,1.4629825,2.065964,0.6893668,4.36279,1.7888508,0.66430944,2.0671003,0.11537058
E08000026,-0.5587528,1.2824922,1.1548798,1.3212031,1.2007364,0.16312608,-1.2068272,1.1665179,-1.6459157,1.3227109,0.9078413,0.541094,1.8063725,1.2791156,2.7889683,0.9990082,0.5822727,1.972838,1.4236863
E08000027,-0.11205427,1.2824922,1.1824322,1.2863597,0.68073314,2.6383326,0.72586256,1.9191128,0.21475874,1.2643356,1.1306194,-0.07781932,1.4737917,1.4516196,2.3421438,0.98063624,1.2692857,1.9841334,1.47327
E08000028,-1.0897247,1.2824922,1.1785859,1.3283001,2.189334,1.9049965,0.3117556,1.3639718,-1.2131046,1.2607231,0.63550186,0.22231135,1.7109098,0.9791939,3.7255826,1.6410255,1.3979517,1.9954922,1.491172
